index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
BTree,16,1310.73,607.171,1.64698e+06,232055592,167712819,BinarySearch,./data/fb_200M_uint64
BTree,64,1259.1,361.88,2.76334e+06,58014712,33556848,BinarySearch,./data/fb_200M_uint64
BTree,128,1206.04,338.889,2.95082e+06,29007944,16466992,BinarySearch,./data/fb_200M_uint64
BTree,512,1309.29,157.29,6.3577e+06,7252456,4105941,BinarySearch,./data/fb_200M_uint64
BTree,1024,1198.22,115.096,8.68838e+06,3626952,1996405,BinarySearch,./data/fb_200M_uint64
BTree,4096,1429.62,73.2362,1.36545e+07,907144,424630,BinarySearch,./data/fb_200M_uint64
BTree,16384,1565.99,56.2028,1.77927e+07,227328,107808,BinarySearch,./data/fb_200M_uint64
BTree,65536,1945.58,43.7515,2.28563e+07,57096,38704,BinarySearch,./data/fb_200M_uint64
BTree,262144,1941.42,31.5272,3.17186e+07,14608,15794,BinarySearch,./data/fb_200M_uint64
DynamicPGM,16,1862.89,1220.15,819569,3235253688,127502180327,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4,1866.46,1325.28,754558,3338525672,141023160478,BinarySearch,./data/fb_200M_uint64
DynamicPGM,8,1912.51,1210.68,825980,3270395512,131397991367,BinarySearch,./data/fb_200M_uint64
DynamicPGM,32,1927.99,1203.39,830986,3217587304,121958235442,BinarySearch,./data/fb_200M_uint64
DynamicPGM,64,1890.43,1252.03,798703,3208811784,119268726233,BinarySearch,./data/fb_200M_uint64
DynamicPGM,256,1969.22,1468.98,680744,3202246888,112937686574,BinarySearch,./data/fb_200M_uint64
DynamicPGM,1024,2162.42,1454.81,687374,3200617072,103849887758,BinarySearch,./data/fb_200M_uint64
DynamicPGM,2048,2323.06,1798.65,555973,3200415088,97055543990,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4096,2301.04,1770.75,564733,3200347768,92496131152,BinarySearch,./data/fb_200M_uint64
DynamicPGM,8192,2624.54,1988.22,502962,3200328120,89092622339,BinarySearch,./data/fb_200M_uint64
ALEX,1,1111.47,894.963,1.11736e+06,4680845840,131095273847,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,4,1112.68,648.643,1.54168e+06,1194743488,31767331397,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,8,966.376,544.384,1.83694e+06,612267864,16059253449,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,16,930.941,421.116,2.37464e+06,314137664,8515128484,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,32,948.437,332.088,3.01125e+06,165982032,4440088238,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,64,909.705,278.671,3.58846e+06,88121184,2250524856,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,128,866.365,212.341,4.7094e+06,49290680,1229205680,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,256,876.795,186.705,5.35606e+06,27657680,620734948,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,512,890.798,140.309,7.12715e+06,16536592,358188283,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,1024,955.934,113.738,8.79216e+06,10405120,218521849,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,2048,1172.96,85.7998,1.1655e+07,5803600,108223338,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,4096,1035.95,69.8937,1.43074e+07,3525336,72986547,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,8192,1122.98,56.7334,1.76263e+07,2191872,52120491,BinarySearch,./data/osm_cellids_200M_uint64
BTree,32,890.307,340.486,2.93698e+06,116028248,165145073,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1,1094.38,814.748,1.22737e+06,3712871840,2272717052,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4,1048.38,660.112,1.5149e+06,928219112,505766808,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16,946.367,435.929,2.29395e+06,232055592,103918623,BinarySearch,./data/osm_cellids_200M_uint64
BTree,64,888.387,270.156,3.70156e+06,58014712,17861927,BinarySearch,./data/osm_cellids_200M_uint64
BTree,128,890.433,200.771,4.98079e+06,29007944,8695039,BinarySearch,./data/osm_cellids_200M_uint64
BTree,512,985.994,90.1622,1.10911e+07,7252456,1755010,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1024,1044.31,69.8847,1.43093e+07,3626952,865109,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4096,1187.44,48.1566,2.07656e+07,907144,210080,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16384,1440.81,35.6144,2.80785e+07,227328,59880,BinarySearch,./data/osm_cellids_200M_uint64
BTree,65536,2306.2,26.402,3.7876e+07,57096,19691,BinarySearch,./data/osm_cellids_200M_uint64
BTree,262144,2582.42,20.433,4.89403e+07,14608,11520,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,16,1366.68,1036.43,964855,3222470680,115808441775,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4,1291.67,1039.18,962299,3295037512,126839276193,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8,1269.48,951.123,1.05139e+06,3246045464,122774589796,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,32,1248.47,935.237,1.06925e+06,3211167792,111568556066,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,64,1315.41,1024.92,975686,3205689600,109177149656,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,256,1350.45,1011.73,988404,3201660768,104797146540,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,1024,1459.73,1150.13,869471,3200665968,102203515401,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,2048,1598.28,1289.17,775693,3200496952,102389783615,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4096,1775.25,1447.97,690620,3200411832,101887266307,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8192,1878.7,1534.94,651491,3200368104,101764108754,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,1,555.093,270.351,3.6989e+06,4607921184,74359355986,BinarySearch,./data/books_200M_uint64
ALEX,4,626.458,176.695,5.65948e+06,1152185800,16434366820,BinarySearch,./data/books_200M_uint64
ALEX,8,586.234,139.104,7.18888e+06,576107288,7019258543,BinarySearch,./data/books_200M_uint64
ALEX,16,558.782,112.465,8.89167e+06,288130520,2912797558,BinarySearch,./data/books_200M_uint64
ALEX,32,615.649,99.8895,1.00111e+07,144137216,1285886435,BinarySearch,./data/books_200M_uint64
ALEX,64,641.176,90.2946,1.10749e+07,72140408,600169223,BinarySearch,./data/books_200M_uint64
ALEX,128,655.551,79.6946,1.25479e+07,36137600,280711245,BinarySearch,./data/books_200M_uint64
ALEX,256,668.663,67.5927,1.47945e+07,18075560,124294333,BinarySearch,./data/books_200M_uint64
ALEX,512,709.18,50.2875,1.98857e+07,9075896,58024042,BinarySearch,./data/books_200M_uint64
ALEX,1024,763.18,39.3445,2.54165e+07,4568712,28344070,BinarySearch,./data/books_200M_uint64
ALEX,2048,820.643,35.3152,2.83164e+07,2288232,12879341,BinarySearch,./data/books_200M_uint64
ALEX,4096,883.884,31.8389,3.14081e+07,1155216,6463221,BinarySearch,./data/books_200M_uint64
ALEX,8192,991.676,30.9928,3.22655e+07,581328,3050543,BinarySearch,./data/books_200M_uint64
BTree,32,1159.93,532.71,1.87719e+06,116028248,137532374,BinarySearch,./data/books_200M_uint64
BTree,1,1351.18,1062.64,941056,3712871840,4492153143,BinarySearch,./data/books_200M_uint64
BTree,4,1304.95,897.733,1.11392e+06,928219112,1059377175,BinarySearch,./data/books_200M_uint64
BTree,16,1211.05,626.106,1.59717e+06,232055592,219473335,BinarySearch,./data/books_200M_uint64
BTree,64,1192.29,388.802,2.572e+06,58014712,37454638,BinarySearch,./data/books_200M_uint64
BTree,128,1210.03,316.54,3.15916e+06,29007944,18892436,BinarySearch,./data/books_200M_uint64
BTree,512,1120.34,156.635,6.38428e+06,7252456,4354557,BinarySearch,./data/books_200M_uint64
BTree,1024,1189.44,109.144,9.16217e+06,3626952,2050386,BinarySearch,./data/books_200M_uint64
BTree,4096,1261.16,72.1813,1.3854e+07,907144,473358,BinarySearch,./data/books_200M_uint64
BTree,16384,1422.22,58.4418,1.7111e+07,227328,91762,BinarySearch,./data/books_200M_uint64
BTree,65536,1712.66,40.5462,2.46632e+07,57096,42037,BinarySearch,./data/books_200M_uint64
BTree,262144,1633.96,32.1607,3.10938e+07,14608,17236,BinarySearch,./data/books_200M_uint64
DynamicPGM,16,1461.94,941.51,1.06212e+06,3212583832,102544596194,BinarySearch,./data/books_200M_uint64
DynamicPGM,4,1618.07,1039.01,962455,3314046344,128897977744,BinarySearch,./data/books_200M_uint64
DynamicPGM,8,1539.51,994.191,1.00584e+06,3236301608,113045736619,BinarySearch,./data/books_200M_uint64
DynamicPGM,32,1542.42,1074.6,930579,3204508072,95847556161,BinarySearch,./data/books_200M_uint64
DynamicPGM,64,1885.36,1362.64,733871,3201604648,90588201968,BinarySearch,./data/books_200M_uint64
DynamicPGM,256,1791.97,1280.86,780725,3200416448,85374721068,BinarySearch,./data/books_200M_uint64
DynamicPGM,1024,2142.61,1792.56,557860,3200328192,84717090842,BinarySearch,./data/books_200M_uint64
LIPP,1,486.801,313.694,3.18782e+06,813124864,15841736580,BinarySearch,./data/osm_cellids_200M_uint64
LIPP,1,397.989,219.787,4.54985e+06,756233728,17143748858,BinarySearch,./data/books_200M_uint64
