index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
BTree,1024,1277.36,121.093,8.25813e+06,3626672,1930056,BinarySearch,./data/wiki_ts_200M_uint64
BTree,4096,1404.73,72.8908,1.37192e+07,906864,434693,BinarySearch,./data/wiki_ts_200M_uint64
BTree,16384,1556.62,55.799,1.79215e+07,227048,106238,BinarySearch,./data/wiki_ts_200M_uint64
BTree,65536,1818.17,42.5021,2.35282e+07,57096,39706,BinarySearch,./data/wiki_ts_200M_uint64
BTree,262144,1945.95,31.4371,3.18096e+07,14608,15740,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,16,1257.56,763.963,1.30896e+06,1447746688,47261867995,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,4,1188.09,720.627,1.38768e+06,1452586400,51569330745,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8,1186.14,690.869,1.44745e+06,1448895104,48166055030,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,32,1236.19,772.243,1.29493e+06,1447348528,47079088359,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,64,1351.63,902.302,1.10828e+06,1447187344,47721752396,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,256,1480.7,1028.48,972310,1447061216,49240892759,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,1024,1694.1,1230.02,812992,1447019232,51053094416,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,2048,1757.64,1315.05,760428,1446999776,46601859379,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,4096,1949.08,1460.57,684663,1446995600,45395762588,BinarySearch,./data/wiki_ts_200M_uint64
DynamicPGM,8192,2106.12,1628.42,614091,1446994368,44460340873,BinarySearch,./data/wiki_ts_200M_uint64
ALEX,1,934.769,807.861,1.23784e+06,4683877560,143498277819,BinarySearch,./data/fb_200M_uint64
ALEX,4,935.411,678.601,1.47362e+06,1186030728,46113210122,BinarySearch,./data/fb_200M_uint64
ALEX,8,1006.41,682.245,1.46575e+06,599695416,19318581740,BinarySearch,./data/fb_200M_uint64
ALEX,16,931.799,504.176,1.98343e+06,308504000,8588061318,BinarySearch,./data/fb_200M_uint64
ALEX,128,807.315,165.278,6.05039e+06,41568696,901687885,BinarySearch,./data/fb_200M_uint64
ALEX,256,766.535,98.7679,1.01247e+07,17997136,109300075,BinarySearch,./data/fb_200M_uint64
ALEX,512,755.283,54.9561,1.81963e+07,8998528,12357006,BinarySearch,./data/fb_200M_uint64
ALEX,1024,807.901,35.6044,2.80864e+07,4499376,6519001,BinarySearch,./data/fb_200M_uint64
ALEX,2048,849.488,30.8279,3.24381e+07,2249808,2799648,BinarySearch,./data/fb_200M_uint64
ALEX,4096,931.654,25.8595,3.86706e+07,1125008,1397579,BinarySearch,./data/fb_200M_uint64
ALEX,8192,1018.13,22.9818,4.35127e+07,562616,709022,BinarySearch,./data/fb_200M_uint64
BTree,32,1121.67,438.251,2.2818e+06,116016232,112289835,BinarySearch,./data/fb_200M_uint64
