index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,median_time_insert_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
BTree,65536,1648.19,27.4727,322.007,1.75666e+07,54145728,23260,BinarySearch,./data/osm_cellids_200M_uint64
BTree,262144,2001.73,20.6001,348.292,1.87374e+07,54069304,13020,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,16,1446.95,1077,2495.97,820413,3253270832,115443848886,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4,1373.79,1000.35,2800.34,847208,3326427024,126407868210,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8,1447.94,981.319,2625.28,872818,3277011872,121559758009,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,32,1334.46,977.747,2420.45,891252,3241902080,112309673319,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,64,1433.05,1130.14,2368.57,797458,3236393424,109696638926,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,256,1311.5,1000.36,2271.18,886965,3232345376,105614639644,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,1024,1486.42,1172.94,2260.99,780188,3231345128,103327908552,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,2048,1596.02,1301.15,2327.18,712377,3231175184,102667213764,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4096,1908.71,1490.58,2279.04,637175,3231089424,102283857836,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8192,2015.25,1612.61,2296.03,594900,3231045584,101925682277,BinarySearch,./data/osm_cellids_200M_uint64
BTree,32,664.048,277.601,332.788,3.53208e+06,170136480,63728683,BinarySearch,./data/fb_200M_uint64
BTree,1,833.514,674.62,322.398,1.56397e+06,3766945168,1957823283,BinarySearch,./data/fb_200M_uint64
BTree,4,743.818,511.225,332.561,2.02692e+06,982281144,452649325,BinarySearch,./data/fb_200M_uint64
BTree,16,682.171,348.076,306.744,2.90746e+06,286162960,99316131,BinarySearch,./data/fb_200M_uint64
BTree,64,664.886,218.543,311.739,4.3886e+06,112123216,19409222,BinarySearch,./data/fb_200M_uint64
BTree,128,682.229,173.034,300.312,5.38324e+06,83115904,9691656,BinarySearch,./data/fb_200M_uint64
BTree,512,763.4,83.2037,312.119,9.42549e+06,61360960,2178400,BinarySearch,./data/fb_200M_uint64
BTree,1024,821.7,69.6271,317.669,1.05897e+07,57732464,890370,BinarySearch,./data/fb_200M_uint64
BTree,4096,928.733,47.1107,314.049,1.35493e+07,55015376,219610,BinarySearch,./data/fb_200M_uint64
BTree,16384,1095.12,35.6394,301.286,1.60761e+07,54358408,85360,BinarySearch,./data/fb_200M_uint64
BTree,65536,1393.67,26.3384,303.771,1.84905e+07,54151728,26190,BinarySearch,./data/fb_200M_uint64
BTree,262144,1669.62,19.8998,295.444,2.10729e+07,54110600,9570,BinarySearch,./data/fb_200M_uint64
DynamicPGM,16,1112.23,778.647,1742.05,1.14287e+06,3266361288,77741299866,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4,1214.84,849.574,1949.27,1.04216e+06,3370205008,85818209309,BinarySearch,./data/fb_200M_uint64
DynamicPGM,8,1158.51,841.496,2132.93,1.03025e+06,3301662720,81068731016,BinarySearch,./data/fb_200M_uint64
DynamicPGM,32,1131.94,794.989,1726.18,1.12599e+06,3248631720,74643567508,BinarySearch,./data/fb_200M_uint64
DynamicPGM,64,1167.19,825.375,1662.39,1.10002e+06,3239828792,72552122271,BinarySearch,./data/fb_200M_uint64
DynamicPGM,256,1218.16,876.523,1551.77,1.05927e+06,3233246176,68129223602,BinarySearch,./data/fb_200M_uint64
DynamicPGM,1024,1310.98,985.016,1390.08,975113,3231611992,61724790909,BinarySearch,./data/fb_200M_uint64
DynamicPGM,2048,1395.9,1069.88,1309.62,914195,3231409424,57423175588,BinarySearch,./data/fb_200M_uint64
DynamicPGM,4096,1447.96,1109.95,1229.73,891325,3231341984,54162803393,BinarySearch,./data/fb_200M_uint64
DynamicPGM,8192,1570.3,1196.42,1171.13,837600,3231322296,52223295858,BinarySearch,./data/fb_200M_uint64
