index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,median_time_insert_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
ALEX,1024,962.888,112.324,530.937,2.04467e+06,432841832,218323750,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,2048,1013.9,87.4477,499.849,2.18051e+06,428755824,108411492,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,4096,1045.67,70.9209,478.457,2.28465e+06,426450024,71125843,BinarySearch,./data/osm_cellids_200M_uint64
ALEX,8192,1126.64,58.3618,463.985,2.36171e+06,424707520,51160544,BinarySearch,./data/osm_cellids_200M_uint64
BTree,32,725.591,299.082,623.484,1.69192e+06,650841432,63641591,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1,911.25,728.484,794.572,1.26909e+06,4526514496,1955209740,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4,802.053,557.686,717.012,1.42637e+06,1589568648,396535552,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16,706.256,392.525,647.599,1.60748e+06,797336456,70084227,BinarySearch,./data/osm_cellids_200M_uint64
BTree,64,697.045,216.112,596.963,1.7893e+06,571597808,15921722,BinarySearch,./data/osm_cellids_200M_uint64
BTree,128,736.918,173.317,586.598,1.83395e+06,529787696,10297627,BinarySearch,./data/osm_cellids_200M_uint64
BTree,512,833.287,86.8974,591.943,1.84693e+06,497601448,1820149,BinarySearch,./data/osm_cellids_200M_uint64
BTree,1024,860.095,70.2369,576.113,1.90286e+06,492147944,903630,BinarySearch,./data/osm_cellids_200M_uint64
BTree,4096,977.74,50.7469,569.886,1.93061e+06,488039160,222560,BinarySearch,./data/osm_cellids_200M_uint64
BTree,16384,1139.5,38.0856,576.101,1.91461e+06,486948408,57890,BinarySearch,./data/osm_cellids_200M_uint64
BTree,65536,1446.09,27.0217,579.061,1.90892e+06,486918072,24980,BinarySearch,./data/osm_cellids_200M_uint64
BTree,262144,1761.26,21.9798,584.236,1.8939e+06,486681208,12460,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,16,1198.7,841.777,378.283,2.35498e+06,3445747776,77214375402,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4,1278.68,881.829,421.75,2.13786e+06,3520107688,85100239269,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8,1194.65,866.367,399.211,2.24252e+06,3469757592,80593624199,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,32,1218.21,892.886,365.826,2.3893e+06,3434306896,74330197460,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,64,1254.5,902.899,357.566,2.4266e+06,3428779440,72839283435,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,256,1295.98,960.646,350.433,2.4304e+06,3424724952,70645307804,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,1024,1471.89,1129.46,346.29,2.35512e+06,3423724368,68158879933,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,2048,1536.97,1187.96,347.936,2.31514e+06,3423554424,68082121197,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,4096,1626.87,1289.49,347.042,2.2661e+06,3423468632,67601823961,BinarySearch,./data/osm_cellids_200M_uint64
DynamicPGM,8192,1725.31,1369.25,356.582,2.18413e+06,3423424776,67872634624,BinarySearch,./data/osm_cellids_200M_uint64
